planning_area,total_households,weighted_average_income,income_distribution
Toa Payoh,35569,10071.888371896877,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 6064, 'sgd_1000_to_1999': 2987, 'sgd_2000_to_2999': 2376, 'sgd_3000_to_3999': 2603, 'sgd_4000_to_4999': 2504, 'sgd_5000_to_5999': 2089, 'sgd_6000_to_6999': 2072, 'sgd_7000_to_7999': 1791, 'sgd_8000_to_8999': 2004, 'sgd_9000_to_9999': 1413, 'sgd_10000_to_10999': 1484, 'sgd_11000_to_11999': 1400, 'sgd_12000_to_12999': 1202, 'sgd_13000_to_13999': 863, 'sgd_14000_to_14999': 912, 'sgd_15000_to_17499': 2236, 'sgd_17500_to_19999': 1569}"
Bukit Batok,47468,10063.376106008258,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 7142, 'sgd_1000_to_1999': 3328, 'sgd_2000_to_2999': 3031, 'sgd_3000_to_3999': 3136, 'sgd_4000_to_4999': 3200, 'sgd_5000_to_5999': 3206, 'sgd_6000_to_6999': 2713, 'sgd_7000_to_7999': 2731, 'sgd_8000_to_8999': 2813, 'sgd_9000_to_9999': 2359, 'sgd_10000_to_10999': 2003, 'sgd_11000_to_11999': 2187, 'sgd_12000_to_12999': 1504, 'sgd_13000_to_13999': 1640, 'sgd_14000_to_14999': 1475, 'sgd_15000_to_17499': 2963, 'sgd_17500_to_19999': 2037}"
Sembawang,29749,9856.022017546808,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 2847, 'sgd_1000_to_1999': 1395, 'sgd_2000_to_2999': 1695, 'sgd_3000_to_3999': 2066, 'sgd_4000_to_4999': 1979, 'sgd_5000_to_5999': 2090, 'sgd_6000_to_6999': 1931, 'sgd_7000_to_7999': 1925, 'sgd_8000_to_8999': 1882, 'sgd_9000_to_9999': 1783, 'sgd_10000_to_10999': 1645, 'sgd_11000_to_11999': 1397, 'sgd_12000_to_12999': 1237, 'sgd_13000_to_13999': 1310, 'sgd_14000_to_14999': 1190, 'sgd_15000_to_17499': 1866, 'sgd_17500_to_19999': 1511}"
Jurong West,74409,9632.399985216842,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 6910, 'sgd_1000_to_1999': 4460, 'sgd_2000_to_2999': 4060, 'sgd_3000_to_3999': 4636, 'sgd_4000_to_4999': 5286, 'sgd_5000_to_5999': 5308, 'sgd_6000_to_6999': 5368, 'sgd_7000_to_7999': 4806, 'sgd_8000_to_8999': 4739, 'sgd_9000_to_9999': 4441, 'sgd_10000_to_10999': 4077, 'sgd_11000_to_11999': 3456, 'sgd_12000_to_12999': 3257, 'sgd_13000_to_13999': 3037, 'sgd_14000_to_14999': 2512, 'sgd_15000_to_17499': 5049, 'sgd_17500_to_19999': 3007}"
Geylang,34040,9511.15418625147,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 4917, 'sgd_1000_to_1999': 2826, 'sgd_2000_to_2999': 2860, 'sgd_3000_to_3999': 2661, 'sgd_4000_to_4999': 2383, 'sgd_5000_to_5999': 2385, 'sgd_6000_to_6999': 2127, 'sgd_7000_to_7999': 1635, 'sgd_8000_to_8999': 1622, 'sgd_9000_to_9999': 1654, 'sgd_10000_to_10999': 1561, 'sgd_11000_to_11999': 1397, 'sgd_12000_to_12999': 1057, 'sgd_13000_to_13999': 954, 'sgd_14000_to_14999': 912, 'sgd_15000_to_17499': 1755, 'sgd_17500_to_19999': 1334}"
Jurong East,22408,9505.716574437702,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 2602, 'sgd_1000_to_1999': 1642, 'sgd_2000_to_2999': 1309, 'sgd_3000_to_3999': 1761, 'sgd_4000_to_4999': 1636, 'sgd_5000_to_5999': 1718, 'sgd_6000_to_6999': 1615, 'sgd_7000_to_7999': 1422, 'sgd_8000_to_8999': 1188, 'sgd_9000_to_9999': 1109, 'sgd_10000_to_10999': 997, 'sgd_11000_to_11999': 922, 'sgd_12000_to_12999': 818, 'sgd_13000_to_13999': 706, 'sgd_14000_to_14999': 559, 'sgd_15000_to_17499': 1416, 'sgd_17500_to_19999': 988}"
Ang Mo Kio,47200,9398.254936440679,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 6466, 'sgd_1000_to_1999': 4228, 'sgd_2000_to_2999': 3572, 'sgd_3000_to_3999': 4020, 'sgd_4000_to_4999': 3381, 'sgd_5000_to_5999': 3134, 'sgd_6000_to_6999': 2943, 'sgd_7000_to_7999': 2672, 'sgd_8000_to_8999': 2210, 'sgd_9000_to_9999': 2386, 'sgd_10000_to_10999': 1947, 'sgd_11000_to_11999': 1795, 'sgd_12000_to_12999': 1363, 'sgd_13000_to_13999': 1425, 'sgd_14000_to_14999': 1156, 'sgd_15000_to_17499': 2661, 'sgd_17500_to_19999': 1841}"
Outram,5466,9371.743688254664,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 868, 'sgd_1000_to_1999': 813, 'sgd_2000_to_2999': 504, 'sgd_3000_to_3999': 392, 'sgd_4000_to_4999': 283, 'sgd_5000_to_5999': 336, 'sgd_6000_to_6999': 201, 'sgd_7000_to_7999': 245, 'sgd_8000_to_8999': 210, 'sgd_9000_to_9999': 213, 'sgd_10000_to_10999': 205, 'sgd_11000_to_11999': 146, 'sgd_12000_to_12999': 218, 'sgd_13000_to_13999': 145, 'sgd_14000_to_14999': 150, 'sgd_15000_to_17499': 326, 'sgd_17500_to_19999': 211}"
Woodlands,70416,9184.241848443535,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 5064, 'sgd_1000_to_1999': 3913, 'sgd_2000_to_2999': 4488, 'sgd_3000_to_3999': 5132, 'sgd_4000_to_4999': 5032, 'sgd_5000_to_5999': 5584, 'sgd_6000_to_6999': 5249, 'sgd_7000_to_7999': 5025, 'sgd_8000_to_8999': 4606, 'sgd_9000_to_9999': 4596, 'sgd_10000_to_10999': 3379, 'sgd_11000_to_11999': 3239, 'sgd_12000_to_12999': 2861, 'sgd_13000_to_13999': 2903, 'sgd_14000_to_14999': 2152, 'sgd_15000_to_17499': 4524, 'sgd_17500_to_19999': 2669}"
Yishun,65153,9019.018663760686,"{'sgd_8000_over': 0, 'sgd_10000_over': 0, 'sgd_20000_over': 5399, 'sgd_1000_to_1999': 4455, 'sgd_2000_to_2999': 4912, 'sgd_3000_to_3999': 4869, 'sgd_4000_to_4999': 4935, 'sgd_5000_to_5999': 5056, 'sgd_6000_to_6999': 4736, 'sgd_7000_to_7999': 4224, 'sgd_8000_to_8999': 3894, 'sgd_9000_to_9999': 3501, 'sgd_10000_to_10999': 3458, 'sgd_11000_to_11999': 3040, 'sgd_12000_to_12999': 2324, 'sgd_13000_to_13999': 2349, 'sgd_14000_to_14999': 1883, 'sgd_15000_to_17499': 3689, 'sgd_17500_to_19999': 2429}"
